product_name,manufacturer,chipset_maker,model_name,distributor,site
PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,PALIT,NVIDIA,RTX 5060 Ti DUAL,이엠텍,danawa
ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 8GB,ZOTAC GAMING,NVIDIA,RTX 5060 Ti Twin Edge OC,,danawa
PALIT 지포스 RTX 5060 Ti INFINITY 3 D7 16GB 이엠텍,PALIT,NVIDIA,RTX 5060 Ti INFINITY 3,이엠텍,danawa
MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 16GB,MSI,NVIDIA,RTX 5060 Ti 벤투스 2X OC 플러스,,danawa
MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,MSI,NVIDIA,RTX 5060 벤투스 2X OC,,danawa
PALIT 지포스 RTX 5060 DUAL OC D7 8GB 이엠텍,PALIT,NVIDIA,RTX 5060 DUAL OC,이엠텍,danawa
갤럭시 GALAX 지포스 RTX 4060 Ti WHITE OC V2 D6 8GB,GALAX,NVIDIA,RTX 4060 Ti WHITE OC V2,,danawa
MSI 지포스 RTX 4060 벤투스 2X 블랙 OC D6 8GB,MSI,NVIDIA,RTX 4060 벤투스 2X 블랙 OC,,danawa
ZOTAC GAMING 지포스 RTX 4060 TWIN Edge OC D6 8GB,ZOTAC GAMING,NVIDIA,RTX 4060 TWIN Edge OC,,danawa
MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 8GB,MSI,NVIDIA,RTX 4060 Ti 벤투스 2X 블랙 OC,,danawa
이엠텍 지포스 RTX 4060 Ti STORM X Dual OC D6 8GB,이엠텍,NVIDIA,RTX 4060 Ti STORM X Dual OC,,danawa
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge D6 8GB,ZOTAC GAMING,NVIDIA,RTX 4060 Ti TWIN Edge,,danawa
GIGABYTE 지포스 RTX 4070 WINDFORCE OC D6X 12GB 제이씨현,GIGABYTE,NVIDIA,RTX 4070 WINDFORCE OC,제이씨현,danawa
MSI 지포스 RTX 4070 SUPER 게이밍 X 슬림 D6X 12GB 트라이프로져3,MSI,NVIDIA,RTX 4070 SUPER 게이밍 X 슬림,트라이프로져3,danawa
GIGABYTE 지포스 RTX 4070 SUPER GAMING OC D6X 12GB 제이씨현,GIGABYTE,NVIDIA,RTX 4070 SUPER GAMING OC,제이씨현,danawa
GIGABYTE 지포스 RTX 4070 SUPER GAMING OC D6X 12GB 피씨디렉트,GIGABYTE,NVIDIA,RTX 4070 SUPER GAMING OC,피씨디렉트,danawa
ASRock 라데온 RX 9070 XT CHALLENGER D6 16GB 대원씨티에스,ASRock,AMD,RX 9070 XT CHALLENGER,대원씨티에스,danawa
ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,ASUS,AMD,PRIME RX 9070 XT OC,대원씨티에스,danawa
GIGABYTE 라데온 RX 9070 XT GAMING OC D6 16GB 피씨디렉트,GIGABYTE,AMD,RX 9070 XT GAMING OC,피씨디렉트,danawa
ASUS PRIME 라데온 RX 9070 XT WHITE OC D6 16GB 대원씨티에스,ASUS,AMD,PRIME RX 9070 XT WHITE OC,대원씨티에스,danawa
SAPPHIRE 라데온 RX 7800 XT PURE OC D6 16GB,SAPPHIRE,AMD,RX 7800 XT PURE OC,,danawa
SAPPHIRE 라데온 RX 7800 XT PULSE D6 16GB,SAPPHIRE,AMD,RX 7800 XT PULSE,,danawa
ASRock 라데온 RX 7600 CHALLENGER OC D6 8GB 대원씨티에스,ASRock,AMD,RX 7600 CHALLENGER OC,대원씨티에스,danawa
GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,GIGABYTE,AMD,RX 7600 GAMING OC,제이씨현,danawa
SAPPHIRE 라데온 RX 7600 PULSE OC D6 8GB,SAPPHIRE,AMD,RX 7600 PULSE OC,,danawa
XFX 라데온 RX 7600 SWFT 210 CORE D6 8GB,XFX,AMD,RX 7600 SWFT 210 CORE,,danawa
AOOSTAR XG76XT 라데온 RX 7600 XT D6 8GB (해외구매),AOOSTAR,AMD,XG76XT RX 7600 XT,,danawa
GPD G1 라데온 RX 7600M XT D6 8GB (해외구매),GPD,AMD,G1 RX 7600M XT,,danawa
SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,SAPPHIRE,AMD,RX 9060 XT PULSE OC,,danawa
XFX 라데온 RX 9060 XT SWIFT DUAL OC D6 16GB,XFX,AMD,RX 9060 XT SWIFT DUAL OC,,danawa
PowerColor 라데온 RX 9060 XT Reaper White D6 16GB 대원씨티에스,PowerColor,AMD,RX 9060 XT Reaper White,대원씨티에스,danawa
PowerColor 라데온 RX 9060 XT Hellhound Spectral White OC D6 16GB 대원씨티에스,PowerColor,AMD,RX 9060 XT Hellhound Spectral White OC,대원씨티에스,danawa
[MSI] 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,MSI,NVIDIA,RTX 5090 슈프림 SOC,하이퍼프로져,compuzone
[ASUS] ROG Astral 지포스 RTX 5090 OC D7 32GB 인텍앤컴퍼니,ASUS,NVIDIA,ROG Astral RTX 5090 OC,인텍앤컴퍼니,compuzone
[ASUS] ROG Astral LC 지포스 RTX 5090 OC D7 32GB 인텍앤컴퍼니,ASUS,NVIDIA,ROG Astral LC RTX 5090 OC,인텍앤컴퍼니,compuzone
[GIGABYTE] AORUS 지포스 RTX 5090 MASTER ICE D7 32GB 피씨디렉트,GIGABYTE,NVIDIA,AORUS RTX 5090 MASTER ICE,피씨디렉트,compuzone
[MSI] 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,MSI,NVIDIA,RTX 5080 뱅가드 SOC,하이퍼프로져,compuzone
[PALIT] 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,PALIT,NVIDIA,RTX 5080 GAMINGPRO,이엠텍,compuzone
[GIGABYTE] 지포스 RTX 5080 GAMING OC D7 16GB 피씨디렉트,GIGABYTE,NVIDIA,RTX 5080 GAMING OC,피씨디렉트,compuzone
[GIGABYTE] AORUS 지포스 RTX 5080 MASTER D7 16GB 제이씨현,GIGABYTE,NVIDIA,AORUS RTX 5080 MASTER,제이씨현,compuzone
[MSI] 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,MSI,NVIDIA,RTX 5070 Ti 게이밍 트리오 OC,트라이프로져4,compuzone
[Colorful] iGame 지포스 RTX 5070 Ti ULTRA OC White D7 16GB 피씨디렉트,Colorful,NVIDIA,iGame RTX 5070 Ti ULTRA OC White,피씨디렉트,compuzone
[Colorful] 지포스 RTX 5070 Ti 토마호크 EX D7 16GB 피씨디렉트,Colorful,NVIDIA,RTX 5070 Ti 토마호크 EX,피씨디렉트,compuzone
[ASUS] PRIME 지포스 RTX 5070 Ti O16G OC D7 16GB 대원씨티에스,ASUS,NVIDIA,PRIME RTX 5070 Ti O16G OC,대원씨티에스,compuzone
[MSI] 지포스 RTX 5070 벤투스 2X OC D7 12GB,MSI,NVIDIA,RTX 5070 벤투스 2X OC,,compuzone
[ASUS] DUAL 지포스 RTX 5070 OC D7 12GB 인텍앤컴퍼니,ASUS,NVIDIA,DUAL RTX 5070 OC,인텍앤컴퍼니,compuzone
[ZOTAC] GAMING 지포스 RTX 5070 SOLID OC D7 12GB,ZOTAC,NVIDIA,GAMING RTX 5070 SOLID OC,,compuzone
[MSI] 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 8GB,MSI,NVIDIA,RTX 5060 Ti 벤투스 2X OC 플러스,,compuzone
[ZOTAC] GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 8GB,ZOTAC,NVIDIA,GAMING RTX 5060 Ti Twin Edge OC,,compuzone
[Colorful] iGame 지포스 RTX 5060 Ti ULTRA DUO OC White D7 8GB 피씨디렉트,Colorful,NVIDIA,iGame RTX 5060 Ti ULTRA DUO OC White,피씨디렉트,compuzone
[Colorful] 지포스 RTX 5060 Ti GAMING DUO D7 8GB 피씨디렉트,Colorful,NVIDIA,RTX 5060 Ti GAMING DUO,피씨디렉트,compuzone
[MSI] 지포스 RTX 5060 벤투스 2X OC D7 8GB,MSI,NVIDIA,RTX 5060 벤투스 2X OC,,compuzone
[ASUS] PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,ASUS,AMD,PRIME RX 9070 XT OC,대원씨티에스,compuzone
[ASRock] 라데온 RX 9070 XT CHALLENGER D6 16GB 대원씨티에스,ASRock,AMD,RX 9070 XT CHALLENGER,대원씨티에스,compuzone
[XFX] 라데온 RX 9070 XT SWIFT D6 16GB,XFX,AMD,RX 9070 XT SWIFT,,compuzone
[ASRock] 라데온 RX 9070 XT 스틸레전드 D6 16GB 대원씨티에스,ASRock,AMD,RX 9070 XT 스틸레전드,대원씨티에스,compuzone
[GIGABYTE] 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,GIGABYTE,AMD,RX 7600 GAMING OC,제이씨현,compuzone
[XFX] Radeon™ RX 7600 SWFT 210 CORE D6 8GB,XFX,AMD,RX 7600 SWFT 210 CORE,,compuzone
[SAPPHIRE] Radeon™ RX 7600 PULSE OC D6 8GB 이엠텍,SAPPHIRE,AMD,RX 7600 PULSE OC,이엠텍,compuzone
[ASRock] 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,ASRock,AMD,RX 9060 XT CHALLENGER OC,대원씨티에스,compuzone
[ASRock] 라데온 RX 9060 XT 스틸레전드 OC D6 16GB WHITE 대원씨티에스,ASRock,AMD,RX 9060 XT 스틸레전드 OC WHITE,대원씨티에스,compuzone
[PowerColor] 라데온 RX 9060 XT Reaper White D6 16GB 대원씨티에스,PowerColor,AMD,RX 9060 XT Reaper White,대원씨티에스,compuzone
[SAPPHIRE] 라데온 RX 9060 XT NITRO+ OC D6 16GB 이엠텍,SAPPHIRE,AMD,RX 9060 XT NITRO+ OC,이엠텍,compuzone
ZOTAC GAMING 지포스 RTX 5080 SOLID OC D7 16GB,ZOTAC GAMING,NVIDIA,RTX 5080 SOLID OC,,kjwwang
ZOTAC GAMING 지포스 RTX 5080 SOLID CORE OC D7 16GB,ZOTAC GAMING,NVIDIA,RTX 5080 SOLID CORE OC,,kjwwang
Colorful iGame 지포스 RTX 5080 ULTRA OC White D7 16GB 피씨디렉트,Colorful,NVIDIA,iGame RTX 5080 ULTRA OC White,피씨디렉트,kjwwang
Colorful 지포스 RTX 5070 Ti 토마호크 EX D7 16GB 피씨디렉트,Colorful,NVIDIA,RTX 5070 Ti 토마호크 EX,피씨디렉트,kjwwang
갤럭시 GALAX 지포스 RTX 5070 Ti EX GAMER WHITE OC D7 16GB,GALAX,NVIDIA,RTX 5070 Ti EX GAMER WHITE OC,,kjwwang
ZOTAC GAMING 지포스 RTX 5070 Ti AMP Extreme Infinity D7 16GB,ZOTAC GAMING,NVIDIA,RTX 5070 Ti AMP Extreme Infinity,,kjwwang
MANLi 지포스 RTX 5070 Ti Nebula D7 16GB 대원씨티에스,MANLi,NVIDIA,RTX 5070 Ti Nebula,대원씨티에스,kjwwang
GAINWARD 지포스 RTX 5070 파이썬 III D7 12GB,GAINWARD,NVIDIA,RTX 5070 파이썬 III,,kjwwang
GIGABYTE 지포스 RTX 5060 Ti EAGLE OC ICE D7 8GB 피씨디렉트,GIGABYTE,NVIDIA,RTX 5060 Ti EAGLE OC ICE,피씨디렉트,kjwwang
PALIT 지포스 RTX 5060 Ti Infinity 3 D7 16GB 이엠텍,PALIT,NVIDIA,RTX 5060 Ti Infinity 3,이엠텍,kjwwang
ZOTAC GAMING 지포스 RTX 5060 Twin Edge OC D7 8GB,ZOTAC GAMING,NVIDIA,RTX 5060 Twin Edge OC,,kjwwang
INNO3D 지포스 RTX 5060 OC V2 D7 8GB TWIN X2,INNO3D,NVIDIA,RTX 5060 OC V2 TWIN X2,,kjwwang
PowerColor 라데온 RX 9070 XT Reaper D6 16GB 대원씨티에스,PowerColor,AMD,RX 9070 XT Reaper,대원씨티에스,kjwwang
SAPPHIRE 라데온 RX 9070 PULSE D6 16GB,SAPPHIRE,AMD,RX 9070 PULSE,,kjwwang
GIGABYTE 라데온 RX 7600 Gaming OC D6 8GB 제이씨현,GIGABYTE,AMD,RX 7600 Gaming OC,제이씨현,kjwwang
ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,ASRock,AMD,RX 9060 XT CHALLENGER OC,대원씨티에스,kjwwang
MSI 지포스 RTX 3050 벤투스 2X XS OC D6 8GB,MSI,NVIDIA,RTX 3050 벤투스 2X XS OC,,danawa
이엠텍 지포스 RTX 3050 MIRACLE WHITE D6 6GB,이엠텍,NVIDIA,RTX 3050 MIRACLE WHITE,,danawa
MSI 지포스 RTX 3050 벤투스 2X E OC D6 6GB,MSI,NVIDIA,RTX 3050 벤투스 2X E OC,,danawa
[PALIT] 지포스 RTX 3050 STORM X D6 6GB 이엠텍,PALIT,NVIDIA,RTX 3050 STORM X,이엠텍,compuzone
[MSI] 지포스 RTX 3050 벤투스 2X E OC D6 6GB,MSI,NVIDIA,RTX 3050 벤투스 2X E OC,,compuzone
[GIGABYTE] 지포스 RTX 3050 WINDFORCE OC V2 D6 6GB 제이씨현,GIGABYTE,NVIDIA,RTX 3050 WINDFORCE OC V2,제이씨현,compuzone
GIGABYTE 지포스 RTX 3050 WINDFORCE OC V2 D6 6GB 제이씨현,GIGABYTE,NVIDIA,RTX 3050 WINDFORCE OC V2,제이씨현,kjwwang
이엠텍 지포스 GTX 1660 SUPER MIRACLE II D6 6GB,이엠텍,NVIDIA,GTX 1660 SUPER MIRACLE II,,danawa
액슬 지포스 GTX 1660 SUPER 38mm D6 6GB 에즈윈,액슬,NVIDIA,GTX 1660 SUPER 38mm,에즈윈,danawa
ARKTEK 지포스 GTX 1660 SUPER D6 6GB,ARKTEK,NVIDIA,GTX 1660 SUPER,,danawa
[emTek] 지포스 GTX 1660 SUPER MIRACLE II D6 6GB,emTek,NVIDIA,GTX 1660 SUPER MIRACLE II,,compuzone
[AXLE] 지포스 GTX 1660 Super D6 6GB 38mm 에즈윈,AXLE,NVIDIA,GTX 1660 Super 38mm,에즈윈,compuzone
[이도디스플레이] GeForce GTX 1660 SUPER RAGE-X D6 6GB,이도디스플레이,NVIDIA,GTX 1660 SUPER RAGE-X,,compuzone
FORSA 지포스 GTX 1660 SUPER X D6 6GB,FORSA,NVIDIA,GTX 1660 SUPER X,,kjwwang
NVIDIA 쿼드로 P2000 D5 5GB ABKO,NVIDIA,NVIDIA,쿼드로 P2000,ABKO,danawa
NVIDIA 쿼드로 M6000 D5 24GB 리더스시스템즈,NVIDIA,NVIDIA,쿼드로 M6000,리더스시스템즈,danawa
[NVIDIA] 쿼드로 Quadro RTX 5000 Ada Generation D6 32GB AI 딥러닝[A/S 3년 무상보증] ▶ [병행수입] ◀,NVIDIA,NVIDIA,쿼드로 Quadro RTX 5000 Ada Generation,,compuzone
[NVIDIA] 엔비디아 쿼드로 NVIDIA Quadro RTX A400 4GB GDDR6 AI 딥러닝[A/S 3년 무상보증] ▶ [병행수입] ◀,NVIDIA,NVIDIA,쿼드로 Quadro RTX A400,,compuzone
[NVIDIA] 엔비디아 쿼드로 NVIDIA Quadro RTX A1000 GDDR6 8GB AI 딥러닝[A/S 3년 무상보증] ▶ [병행수입] ◀,NVIDIA,NVIDIA,쿼드로 Quadro RTX A1000,,compuzone
ASUS PH 라데온 RX 6400 D6 4GB 대원씨티에스,ASUS,AMD,PH RX 6400,대원씨티에스,danawa
PowerColor 라데온 RX 6400 ITX D6 4GB,PowerColor,AMD,RX 6400 ITX,,danawa
갤럭시 GALAZ 지포스 GT710 D3 2GB LP 무소음,GALAX,NVIDIA,GT710 LP 무소음,,danawa
갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음,GALAX,NVIDIA,GT710 LP 무소음,,danawa
갤럭시 갤라즈 GALAX 지포스 GT710 D3 2GB LP 무소음,GALAX,NVIDIA,GT710 LP 무소음,,danawa
[MSI] GeForce GT710 D3 2GB LP 무소음,MSI,NVIDIA,GT710 LP 무소음,,compuzone
[GALAX] GeForce GT710 D3 1GB LP 무소음,GALAX,NVIDIA,GT710 LP 무소음,,compuzone
[TAGER] 지포스 GT710 D3 2GB LP,TAGER,NVIDIA,GT710 LP,,compuzone
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,MSI,NVIDIA,RTX 3060 벤투스 2X OC,,danawa
액슬 지포스 RTX 3060 D6 12GB 에즈윈,액슬,NVIDIA,RTX 3060,에즈윈,danawa
액슬 지포스 RTX 3060 Ti D6 8GB White 에즈윈,액슬,NVIDIA,RTX 3060 Ti White,에즈윈,danawa
GIGABYTE 라데온 AI PRO R9700 AI TOP D6 32GB 제이씨현,GIGABYTE,AMD,AI PRO R9700 AI TOP,제이씨현,danawa
ASUS TURBO 라데온 AI PRO R9700 D6 32GB 대원씨티에스,ASUS,AMD,TURBO AI PRO R9700,대원씨티에스,danawa
GIGABYTE 라데온 AI PRO R9700 AI TOP D6 32GB 피씨디렉트,GIGABYTE,AMD,AI PRO R9700 AI TOP,피씨디렉트,danawa
[GIGABYTE] 라데온 AI PRO R9700 AI TOP D6 32GB 제이씨현,GIGABYTE,AMD,AI PRO R9700 AI TOP,제이씨현,compuzone
[ASRock] 라데온 AI PRO R9700 Creator D6 32GB,ASRock,AMD,AI PRO R9700 Creator,,compuzone
[AMD] Radeon™ PRO WX3200 D5 4GB LP 대원CTS,AMD,AMD,PRO WX3200 LP,대원CTS,compuzone
